,OBSERVED,,,,,,,,,,,EXPECTED,,,,,,,,
,,01- Homicide,02 - Sexual Assult,03 - Robbery,"04 - Assault, Aggravated",05 - Burglary,06 - Larceny,07 - GTA,08 - Arson,,,,01- Homicide,02 - Sexual Assult,03 - Robbery,"04 - Assault, Aggravated",05 - Burglary,06 - Larceny,07 - GTA,08 - Arson
,20,2426,2446,,4.480846459,2441.519154,,53.74969414,0.09864519239,,,,,,,,,,,
,12,2219,2231,,4.086986284,2226.913014,,15.32077226,0.02811775121,,,,,,,,,,,
,4,2189,2193,,4.017373787,2188.982626,,0.00007513577409,0.0000001378944199,,,,,,,,,,,
,11,2268,2279,,4.174917858,2274.825082,,11.15752401,0.02047706728,,,,,,,,,,,
,4,2619,2623,,4.805094138,2618.194906,,0.1348936259,0.0002475662027,,,,,,,,,,,
,5,3726,3731,,6.834847971,3724.165152,,0.4925738058,0.0009040058483,,,,,,,,,,,
,6,5127,5133,,9.403182695,5123.596817,,1.231673661,0.002260453519,,,,,,,,,,,
,11,6195,6206,,11.36881976,6194.63118,,0.01196500739,0.00002195901716,,,,,,,,,,,
,4,8280,8284,,15.17552415,8268.824476,,8.229853464,0.01510400182,,,,,,,,,,,
,8,10346,10354,,18.96757328,10335.03243,,6.341752939,0.01163882788,,,,,,,,,,,
,12,9774,9786,,17.92704965,9768.07295,,1.959603964,0.003596402048,,,,,,,,,,,
,5,8639,8644,,15.83501095,8628.164989,,7.413791041,0.01360630708,,,,,,,,,,,
,9,9180,9189,,16.8334007,9172.166599,,3.64526263,0.006690040553,,,,,,,,,,,
,16,9350,9366,,17.15764838,9348.842352,,0.07810800977,0.0001433492743,,,,,,,,,,,
,18,9591,9609,,17.60280197,9591.397198,,0.008962565969,0.00001644872698,,,,,,,,,,,
,15,9414,9429,,17.27305857,9411.726941,,0.2991245145,0.0005489741989,,,,,,,,,,,
,15,8837,8852,,16.21604777,8835.783952,,0.09119189873,0.0001673617411,,,,,,,,,,,
,16,8590,8606,,15.76539846,8590.234602,,0.003491055712,0.000006407029247,,,,,,,,,,,
,13,8290,8303,,15.2103304,8287.78967,,0.3212001534,0.0005894889532,,,,,,,,,,,
,15,7747,7762,,14.21926828,7747.780732,,0.04286732669,0.00007867311167,,,,,,,,,,,
,22,6596,6618,,12.12356577,6605.876434,,8.045813835,0.01476623945,,,,,,,,,,,
,13,5189,5202,,9.529584333,5192.470416,,1.263831084,0.002319471068,,,,,,,,,,,
,281,153111,153392,,,,,,,139.0176143,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
hour,homocide,arson,totals,,EXP homocide,EXP arson,,,,,,,,,,,,,,
0,15,37,52,,12.66204506,39.33795494,,0.4316864513,0.1389506218,,,,,,,,,,,
1,12,42,54,,13.14904679,40.85095321,,0.1004109693,0.03232014018,,,,,,,,,,,
2,20,39,59,,14.36655113,44.63344887,,2.20900242,0.7110305614,,,,,,,,,,,
3,12,31,43,,10.47053726,32.52946274,,0.2234132031,0.07191192448,,,,,,,,,,,
4,4,32,36,,8.766031196,27.2339688,,2.591258558,0.8340706242,,,,,,,,,,,
5,11,27,38,,9.253032929,28.74696707,,0.3298263359,0.1061640325,,,,,,,,,,,
6,4,29,33,,8.035528596,24.9644714,,2.026685719,0.6523467206,,,,,,,,,,,
7,5,33,38,,9.253032929,28.74696707,,1.954849749,0.6292242604,,,,,,,,,,,
8,6,33,39,,9.496533795,29.5034662,,1.287390625,0.4143834659,,,,,,,,,,,
9,11,34,45,,10.95753899,34.04246101,,0.0001645384939,0.00005296141669,,,,,,,,,,,
10,4,34,38,,9.253032929,28.74696707,,2.982195694,0.9599049139,,,,,,,,,,,
11,8,52,60,,14.61005199,45.38994801,,2.990597663,0.962609328,,,,,,,,,,,
12,12,37,49,,11.93154246,37.06845754,,0.0003927769323,0.0001264264811,,,,,,,,,,,
13,5,26,31,,7.548526863,23.45147314,,0.8604313517,0.2769544213,,,,,,,,,,,
14,9,34,43,,10.47053726,32.52946274,,0.2065299787,0.0664775762,,,,,,,,,,,
15,16,45,61,,14.85355286,46.14644714,,0.08848664411,0.02848195532,,,,,,,,,,,
16,18,38,56,,13.63604853,42.36395147,,1.396597586,0.4495348474,,,,,,,,,,,
17,15,33,48,,11.68804159,36.31195841,,0.9384864343,0.3020786805,,,,,,,,,,,
18,15,31,46,,11.20103986,34.79896014,,1.288460564,0.4147278562,,,,,,,,,,,
19,16,35,51,,12.41854419,38.58145581,,1.03287676,0.3324609044,,,,,,,,,,,
20,13,39,52,,12.66204506,39.33795494,,0.009020149627,0.00290339295,,,,,,,,,,,
21,15,53,68,,16.55805893,51.44194107,,0.1466082242,0.04719004696,,,,,,,,,,,
22,22,47,69,,16.80155979,52.19844021,,1.608409036,0.5177124161,,,,,,,,,,,
